Subject,Class,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-D|4,T2-I|4+5,T2-PF|4+5,T2-RF|4+5,T2-D|5,T2-I|5+6,T2-PF|5+6,T2-RF|5+6,T2-D|6,T2-I|6+7,T2-PF|6+7,T2-RF|6+7,T2-D|7,T2-I|7+8,T2-PF|7+8,T2-RF|7+8,T2-D|8,T2-I|8+9,T2-PF|8+9,T2-RF|8+9,T2-D|9
qikai,3,gab genial,0.123302937,0.16697526,0.048998356,0.043672323,0.117976904,0.235987186,0.114974499,0.118010283,0.121012688,0.322104216,0.207206488,0.201091528,0.114897728,0.641144037,0.539772511,0.526246309,0.101371527,0.206492424,0.07631588,0.105120897,0.130176544,0.225176334,0.140175104,0.09499979,0.08500123,0.30099988,0.166004658,0.21599865,0.134995222,0.479092836,0.339997053,0.344097614,0.139095783,0.670091152,0.551090717,0.530995369,0.119000435
qikai,6,recoil wit,0.098995924,0.16399622,0.078995228,0.065000296,0.085000992,0.322000027,0.223003387,0.236999035,0.098996639,0.136997938,0.095019579,0.038001299,0.041978359,0.182975769,0.122980833,0.14099741,0.059994936,0.263011217,0.182995796,0.203016281,0.080015421,0.208001614,0.068000555,0.127986193,0.140001059,0.185999393,0.075999975,0.045998335,0.109999418,0.232002974,0.164003849,0.122003555,0.067999125,0.28800106,0.167995691,0.220001936,0.120005369
qikai,4,bled eland,0.110063791,0.217000484,0.147003651,0.106936693,0.069996834,0.203998327,0.078994513,0.134001493,0.125003815,0.218004942,0.115003109,0.093001127,0.103001833,0.235999823,0.082002163,0.13299799,0.15399766,0.827000618,0.722996473,0.673002958,0.104004145,0.215001106,0.113002539,0.110996962,0.101998568,0.186132669,0.0990026,0.084134102,0.08713007,0.181998014,0.111995697,0.094867945,0.070002317,0.145998955,0.059000254,0.075996637,0.086998701
qikai,5,vouch pout,0.138001204,0.189000845,0.097001314,0.050999641,0.091999531,0.330998421,0.205053806,0.23899889,0.125944614,0.251945972,0.15194416,0.126001358,0.100001812,0.217000723,0.075000286,0.116998911,0.142000437,0.410000563,0.276003361,0.268000126,0.133997202,0.864998102,0.749000311,0.7310009,0.115997791,0.32899642,0.227000952,0.212998629,0.101995468,0.338995218,0.252995729,0.23699975,0.085999489,0.194999933,0.122999668,0.109000444,0.072000265
qikai,4,digs faces,0.108855247,0.209697247,0.140452862,0.100841999,0.069244385,0.132288694,0.022329807,0.06304431,0.109958887,0.202499628,0.08250165,0.092540741,0.119997978,0.212999344,0.112996578,0.093001366,0.100002766,0.168005943,0.064999104,0.068003178,0.10300684,0.18112421,0.069000006,0.078117371,0.112124205,0.275999546,0.154001951,0.163875341,0.121997595,0.232002258,0.097998857,0.110004663,0.134003401,0.184000015,0.082000971,0.049996614,0.101999044
qikai,3,elf anyone,0.097938061,0.182940722,0.099943161,0.085002661,0.082997561,0.190995932,0.072996378,0.107998371,0.117999554,0.218998909,0.103001118,0.100999355,0.115997791,0.224999905,0.101001501,0.109002113,0.123998404,0.190998316,0.101999521,0.066999912,0.088998795,0.196998835,0.172998667,0.10800004,0.024000168,0.289998055,0.215997219,0.265997887,0.074000835,0.224004507,0.152005911,0.150003672,0.071998596,0.146996498,0.064994574,0.074997902,0.082001925
qikai,5,meany urea,0.107999086,0.21000123,0.094995737,0.102002144,0.115005493,0.169000864,0.059000015,0.053995371,0.110000849,0.178999424,0.095000505,0.068998575,0.083998919,0.296000004,0.210000753,0.212001085,0.08599925,0.217176676,0.092003822,0.131177425,0.125172853,0.339999437,0.262995005,0.214826584,0.077004433,0.179000854,0.074001551,0.101996422,0.104999304,0.261413336,0.078005552,0.156414032,0.183407784,0.285454035,0.152992249,0.102046251,0.132461786
qikai,4,thai joker,0.129001141,0.242999315,0.172005892,0.113998175,0.070993423,0.145604372,0.048994064,0.074610949,0.096610308,0.214613676,0.134614229,0.118003368,0.079999447,0.179999352,0.073997021,0.099999905,0.106002331,0.209002256,0.137001276,0.102999926,0.07200098,0.267999411,0.176998138,0.19599843,0.091001272,0.171045542,0.086999655,0.08004427,0.084045887,0.137998343,0.07200098,0.053952456,0.065997362,0.208003044,0.151003122,0.142005682,0.056999922
qikai,3,lob peever,0.101004601,0.231001139,0.162003279,0.129996538,0.06899786,0.157998323,0.038996935,0.089000463,0.119001389,0.196998596,0.114000082,0.077997208,0.082998514,0.154000044,0.087002754,0.07100153,0.06699729,0.147000074,0.097002268,0.080002785,0.049997807,0.174998045,0.106995821,0.125000238,0.068002224,0.212002277,0.117044449,0.144000053,0.094957829,0.114953756,0.063956022,0.019995928,0.050997734,0.189999104,0.118000031,0.139001369,0.071999073
qikai,4,muds idiom,0.082999468,0.231003046,0.173001766,0.148003578,0.05800128,0.139998436,0.02299881,0.081997156,0.116999626,0.159000635,0.06099844,0.042001009,0.098002195,0.203998566,0.08100152,0.10599637,0.122997046,0.245999575,0.158998251,0.123002529,0.087001324,0.177001953,0.077003241,0.090000629,0.099998713,0.187998295,0.11999774,0.087999582,0.068000555,0.238000154,0.149999857,0.169999599,0.088000298,0.230998516,0.138999939,0.142998219,0.091998577
qikai,3,rue hushes,0.077264309,0.190638065,0.111805677,0.113373756,0.078832388,0.177150249,0.0748384,0.098317862,0.10231185,0.200475931,0.082862377,0.098164082,0.117613554,0.149615526,0.111599445,0.032001972,0.038016081,0.284011602,0.200017214,0.245995522,0.083994389,0.200997353,0.107997894,0.117002964,0.092999458,0.180998325,0.112997532,0.087998867,0.068000793,0.113000154,0.05200243,0.044999361,0.060997725,0.217002153,0.121997833,0.156004429,0.09500432
qikai,6,minnow fit,0.106999636,0.293005466,0.221000433,0.186005831,0.072005033,0.253998518,0.205002546,0.181993484,0.048995972,0.174997807,0.123054266,0.126001835,0.051943541,0.193942547,0.144940853,0.141999006,0.049001694,0.139047861,0.044001579,0.090046167,0.095046282,0.168538094,0.063999891,0.073491812,0.104538202,0.171533823,0.101533175,0.066995621,0.070000648,0.126002312,0.050999641,0.056001663,0.07500267,0.182051182,0.113000631,0.107048512,0.06905055
qikai,3,run sifter,0.108947515,0.176115036,0.11194849,0.067167521,0.064166546,0.219264746,0.129264116,0.1550982,0.090000629,0.177003622,0.059999704,0.087002993,0.117003918,0.179003954,0.079000711,0.062000036,0.100003242,0.418528318,0.312528372,0.318525076,0.105999947,0.188224316,0.109003305,0.082224369,0.07922101,0.650429726,0.592898846,0.571208715,0.05753088,0.214061737,0.092529774,0.156530857,0.121531963,0.173063993,0.08653307,0.05153203,0.086530924
qikai,3,mat source,0.078460217,0.174401045,0.06617713,0.095940828,0.108223915,0.172937632,0.069070816,0.064713717,0.103866816,0.166935682,0.068215609,0.063068867,0.098720074,0.280742407,0.165266037,0.182022333,0.11547637,0.143526793,0.112467051,0.028050423,0.031059742,0.186365366,0.123775721,0.155305624,0.062589645,0.094061613,0.023171186,0.031471968,0.070890427,0.281837225,0.187488794,0.210946798,0.094348431,0.157133818,0.066530943,0.062785387,0.090602875
qikai,4,bono coups,0.111719847,0.173718929,0.114723921,0.061999083,0.058995008,0.191707373,0.132119417,0.132712364,0.059587955,0.19218111,0.114607096,0.132593155,0.077574015,0.18550849,0.062572479,0.107934475,0.12293601,0.18765521,0.110967636,0.0647192,0.076687574,0.107916117,0.03649807,0.031228542,0.071418047,0.223042727,0.172487497,0.15162468,0.050555229,0.236328125,0.186326027,0.185772896,0.050002098,0.142002106,0.074003458,0.092000008,0.067998648
qikai,6,lobber yex,0.091531515,0.250852346,0.167740107,0.159320831,0.08311224,0.135954618,0.085113525,0.052842379,0.050841093,0.18229723,0.112280369,0.131456137,0.070016861,0.146622419,0.093378305,0.076605558,0.053244114,0.213720083,0.137670755,0.160475969,0.076049328,0.149369001,0.064231873,0.073319674,0.085137129,0.282196522,0.204074144,0.197059393,0.078122377,0.127215862,0.059546947,0.049093485,0.067668915,0.295365095,0.184626341,0.22769618,0.110738754
qikai,3,sum ashore,0.125797749,0.183797836,0.152798176,0.058000088,0.03099966,0.225997686,0.146003485,0.194998026,0.079994202,0.143663168,0.051999092,0.063668966,0.091664076,0.138616085,0.050997972,0.046952009,0.087618113,0.188771248,0.079386473,0.101153135,0.109384775,0.225245237,0.152787685,0.115860462,0.072457552,0.272930622,0.242494345,0.20047307,0.030436277,0.140374899,0.052491188,0.109938622,0.087883711,0.407489061,0.334169626,0.31960535,0.073319435
qikai,3,asp uppers,0.091306448,0.223124266,0.09885335,0.131817818,0.124270916,0.245097637,0.143273354,0.120826721,0.101824284,0.215733767,0.095856905,0.113909483,0.119876862,0.243775606,0.170563698,0.123898745,0.073211908,0.274859667,0.2199893,0.201647758,0.054870367,0.200101852,0.114343166,0.145231485,0.085758686,0.109767675,0.039653301,0.024008989,0.070114374,0.238751173,0.127721548,0.168636799,0.111029625,0.198683739,0.095709324,0.087654114,0.102974415
qikai,3,nix juntas,0.113401175,0.52600193,0.383935213,0.412600756,0.142066717,0.373178244,0.211578131,0.231111526,0.161600113,0.529412985,0.341894388,0.367812872,0.187518597,1.670795202,1.563736677,1.483276606,0.107058525,0.363054991,0.272054911,0.255996466,0.09100008,0.299002647,0.201000214,0.208002567,0.098002434,0.207006216,0.101999283,0.109003782,0.105006933,0.300004721,0.213001728,0.194997787,0.087002993,0.296001196,0.201000452,0.208998203,0.095000744
