,Results,Prediction,Accuracy,"cy, jc, jonah 113/144"
317,jonah,jonah,0.9996774,Match
318,jonah,jonah,0.99963105,Match
319,jonah,jonah,0.99973625,Match
320,jonah,jonah,0.9997507,Match
321,jonah,jonah,0.9996884,Match
322,jonah,jonah,0.9997483,Match
323,jonah,jonah,0.9994804,Match
324,jonah,jonah,0.8807741,Match
325,jonah,jonah,0.99971634,Match
326,jonah,jonah,0.99970573,Match
327,jonah,jonah,0.99973136,Match
328,jonah,jonah,0.9997509,Match
329,jonah,jonah,0.99974865,Match
330,jonah,jonah,0.757461,Match
331,jonah,jonah,0.99696964,Match
332,jonah,jonah,0.999539,Match
333,jonah,jonah,0.99971825,Match
334,jonah,jonah,0.9997435,Match
335,jonah,jonah,0.9997495,Match
336,qikai,jonah,0.9997135,Nope
337,qikai,jonah,0.9997564,Nope
338,qikai,jonah,0.99974424,Nope
339,qikai,jonah,0.9997516,Nope
340,qikai,jonah,0.99975604,Nope
341,qikai,jonah,0.99975234,Nope
342,qikai,jonah,0.9922477,Nope
343,qikai,jonah,0.99974984,Nope
344,qikai,jonah,0.99972826,Nope
345,qikai,jonah,0.999337,Nope
346,qikai,jonah,0.999741,Nope
347,qikai,jonah,0.99970776,Nope
348,qikai,jonah,0.9992812,Nope
349,qikai,jonah,0.5375685,Nope
350,qikai,jc,0.8941368,Nope
351,qikai,jonah,0.66829693,Nope
352,qikai,jonah,0.7313932,Nope
353,qikai,jonah,0.9882075,Nope
354,qikai,jonah,0.99975866,Nope
355,qikai,jonah,0.9997482,Nope
356,qikai,jonah,0.95377904,Nope
357,qikai,jonah,0.99975365,Nope
358,qikai,jonah,0.9997515,Nope
359,qikai,jonah,0.99975497,Nope
360,qikai,jonah,0.9997167,Nope
361,qikai,jonah,0.72886777,Nope
362,qikai,jonah,0.9629403,Nope
363,qikai,jonah,0.9997167,Nope
364,qikai,jonah,0.6770473,Nope
365,qikai,jonah,0.998317,Nope
366,qikai,jonah,0.9997241,Nope
367,qikai,jonah,0.9961451,Nope
368,qikai,jonah,0.99938834,Nope
369,qikai,jonah,0.99975175,Nope
370,qikai,jonah,0.99975246,Nope
371,qikai,jonah,0.9997441,Nope
372,qikai,jonah,0.99975294,Nope
373,qikai,jonah,0.9996295,Nope
374,qikai,jonah,0.99956673,Nope
375,qikai,jonah,0.9997483,Nope
376,qikai,jonah,0.9957683,Nope
377,qikai,jonah,0.9997422,Nope
378,qikai,jonah,0.999754,Nope
379,qikai,jonah,0.9996511,Nope
380,qikai,jonah,0.9940498,Nope
381,qikai,jonah,0.9997491,Nope
382,qikai,jonah,0.866025,Nope
383,qikai,jonah,0.99973756,Nope
384,ys,jc,0.99949694,Nope
385,ys,jc,0.99960214,Nope
