,Results,Prediction,Accuracy,"cy, jonah, zen, 90/144"
243,jc,cy,0.9996897,Nope
244,jc,zen,0.9980458,Nope
245,jc,zen,0.910466,Nope
246,jc,jonah,0.99975723,Nope
247,jc,cy,0.7443331,Nope
248,jc,jonah,0.9998733,Nope
249,jc,cy,0.9996032,Nope
250,jc,cy,0.9553518,Nope
251,jc,cy,0.8787207,Nope
252,jc,jonah,0.9998758,Nope
253,jc,jonah,0.9983327,Nope
254,jc,jonah,0.9998758,Nope
255,jc,cy,0.9996861,Nope
256,jc,zen,0.9974963,Nope
257,jc,jonah,0.6938809,Nope
258,jc,jonah,0.9998635,Nope
259,jc,jonah,0.8364368,Nope
260,jc,jonah,0.9998641,Nope
261,jc,cy,0.9986089,Nope
262,jc,cy,0.97935426,Nope
263,jc,cy,0.9636661,Nope
264,jc,jonah,0.99987733,Nope
265,jc,jonah,0.9995121,Nope
266,jc,jonah,0.9998698,Nope
267,jc,jonah,0.99859625,Nope
268,jc,zen,0.9976216,Nope
269,jc,zen,0.95402086,Nope
270,jc,cy,0.800136,Nope
271,jc,cy,0.99930763,Nope
272,jc,cy,0.9912527,Nope
273,jc,cy,0.999151,Nope
274,jc,zen,0.5002158,Nope
275,jc,cy,0.9991437,Nope
276,jc,jonah,0.9865925,Nope
277,jc,jonah,0.89661825,Nope
278,jc,jonah,0.9941929,Nope
279,jc,cy,0.99922526,Nope
280,jc,zen,0.60461336,Nope
281,jc,zen,0.5250149,Nope
282,jc,jonah,0.9998412,Nope
283,jc,jonah,0.96734345,Nope
284,jc,jonah,0.9998412,Nope
285,jc,cy,0.6139751,Nope
286,jc,jonah,0.9996013,Nope
287,jc,cy,0.6290316,Nope
288,jonah,jonah,0.9998754,Match
289,jonah,jonah,0.9998472,Match
290,jonah,jonah,0.99987483,Match
291,jonah,jonah,0.9998492,Match
292,jonah,jonah,0.99986994,Match
293,jonah,jonah,0.9992828,Match
294,jonah,jonah,0.9998764,Match
295,jonah,jonah,0.99983346,Match
296,jonah,jonah,0.99987364,Match
297,jonah,jonah,0.99986434,Match
298,jonah,jonah,0.999864,Match
299,jonah,jonah,0.9448362,Match
300,jonah,jonah,0.99984694,Match
301,jonah,jonah,0.9976521,Match
302,jonah,jonah,0.9998771,Match
303,jonah,jonah,0.99987304,Match
304,jonah,jonah,0.99986637,Match
305,jonah,jonah,0.9997224,Match
306,jonah,jonah,0.99886346,Match
307,jonah,jonah,0.8993941,Match
308,jonah,jonah,0.99987435,Match
309,jonah,jonah,0.99986124,Match
310,jonah,jonah,0.9998548,Match
311,jonah,jonah,0.9739214,Match
312,jonah,jonah,0.99983704,Match
313,jonah,jonah,0.985092,Match
314,jonah,jonah,0.999877,Match
315,jonah,jonah,0.9998661,Match
316,jonah,jonah,0.99986815,Match
317,jonah,jonah,0.9988681,Match
318,jonah,jonah,0.9993954,Match
319,jonah,jonah,0.9563123,Match
320,jonah,jonah,0.9998754,Match
321,jonah,jonah,0.9998443,Match
322,jonah,jonah,0.99984443,Match
323,jonah,jonah,0.98463535,Match
324,jonah,jonah,0.9998654,Match
325,jonah,jonah,0.9996568,Match
326,jonah,jonah,0.9998779,Match
327,jonah,jonah,0.9998733,Match
328,jonah,jonah,0.99987733,Match
329,jonah,jonah,0.999876,Match
330,jonah,jonah,0.99979895,Match
331,jonah,jonah,0.98621327,Match
332,jonah,jonah,0.9998779,Match
333,jonah,jonah,0.9998671,Match
334,jonah,jonah,0.999876,Match
335,jonah,jonah,0.9998604,Match
336,qikai,jonah,0.99987435,Nope
337,qikai,jonah,0.99987876,Nope
338,qikai,jonah,0.9998746,Nope
339,qikai,jonah,0.9998766,Nope
340,qikai,jonah,0.99987495,Nope
341,qikai,jonah,0.999877,Nope
342,qikai,jonah,0.9998299,Nope
343,qikai,jonah,0.99987876,Nope
344,qikai,jonah,0.9998221,Nope
345,qikai,jonah,0.9998517,Nope
346,qikai,jonah,0.9998647,Nope
347,qikai,jonah,0.9998636,Nope
348,qikai,jonah,0.9998723,Nope
349,qikai,jonah,0.9997433,Nope
350,qikai,jonah,0.9998714,Nope
351,qikai,jonah,0.99987507,Nope
352,qikai,jonah,0.99987423,Nope
353,qikai,jonah,0.9998745,Nope
354,qikai,jonah,0.9998729,Nope
355,qikai,jonah,0.9998518,Nope
356,qikai,jonah,0.9998696,Nope
357,qikai,jonah,0.9998746,Nope
358,qikai,jonah,0.99987614,Nope
359,qikai,jonah,0.999874,Nope
360,qikai,jonah,0.9998765,Nope
361,qikai,jonah,0.9998599,Nope
362,qikai,jonah,0.999874,Nope
363,qikai,jonah,0.99987817,Nope
364,qikai,jonah,0.9998766,Nope
365,qikai,jonah,0.9998754,Nope
366,qikai,jonah,0.9998634,Nope
367,qikai,jonah,0.9892379,Nope
368,qikai,jonah,0.99985135,Nope
369,qikai,jonah,0.9998779,Nope
370,qikai,jonah,0.999859,Nope
371,qikai,jonah,0.9998691,Nope
372,qikai,jonah,0.9998765,Nope
373,qikai,jonah,0.99983585,Nope
374,qikai,jonah,0.9998741,Nope
375,qikai,jonah,0.99987936,Nope
376,qikai,jonah,0.99986494,Nope
377,qikai,jonah,0.99987626,Nope
378,qikai,jonah,0.99987423,Nope
