Subject,Class,Sequence,D|0,I|0+1,PF|0+1,RF|0+1,D|1,I|1+2,PF|1+2,RF|1+2,D|2,I|2+3,PF|2+3,RF|2+3,D|3,I|3+4,PF|3+4,RF|3+4,D|4,I|4+5,PF|4+5,RF|4+5,D|5,I|5+6,PF|5+6,RF|5+6,D|6,I|6+7,PF|6+7,RF|6+7,D|7,I|7+8,PF|7+8,RF|7+8,D|8,I|8+9,PF|8+9,RF|8+9,D|9
5,5,bores daft,0.111194134,0.250183344,0.172394276,0.13898921,0.077789068,0.235173941,0.109312296,0.157384872,0.125861645,0.172226191,0.078443527,0.046364546,0.093782663,0.250004053,0.15669775,0.15622139,0.093306303,0.327641964,0.233958483,0.234335661,0.093683481,0.281653166,0.202571869,0.187969685,0.079081297,0.219178677,0.109632015,0.14009738,0.109546661,0.452791214,0.375138283,0.343244553,0.077652931,0.265588284,0.187625647,0.187935352,0.077962637
5,5,gaudy caps,0.078836679,0.234232187,0.125957251,0.155395508,0.108274937,0.217645884,0.155001879,0.109370947,0.062644005,0.188369274,0.094121456,0.125725269,0.094247818,0.219003439,0.140470028,0.124755621,0.078533411,0.32865262,0.234503746,0.250119209,0.094148874,0.672221661,0.531471491,0.578072786,0.14075017,0.218739271,0.109243631,0.077989101,0.10949564,0.203103065,0.124702454,0.093607426,0.078400612,0.187782764,0.093279362,0.109382153,0.094503403
5,5,tardy wane,0.109813929,0.297155619,0.188402176,0.18734169,0.108753443,0.203477859,0.124761581,0.094724417,0.078716278,0.312113762,0.202974558,0.233397484,0.109139204,0.281064034,0.203950167,0.171924829,0.077113867,0.359539747,0.249043226,0.28242588,0.110496521,0.2659657,0.171915293,0.155469179,0.094050407,0.281424284,0.20412612,0.187373877,0.077298164,0.108753204,0.030447483,0.03145504,0.078305721,0.249616385,0.171940565,0.171310663,0.077675819
5,5,vents fray,0.062105656,0.217974901,0.139410973,0.155869246,0.078563929,0.219123125,0.12501502,0.140559196,0.094108105,0.140801907,0.078653812,0.046693802,0.062148094,0.875273466,0.781423569,0.813125372,0.093849897,0.312964916,0.203149796,0.219115019,0.109815121,0.24971652,0.171752691,0.1399014,0.077963829,0.328598261,0.202626705,0.250634432,0.125971556,0.39149785,0.265824795,0.265526295,0.125673056,0.251105309,0.172621727,0.125432253,0.078483582
5,5,rates eaux,0.094423532,0.234781981,0.11036706,0.140358448,0.124414921,0.26525712,0.156033754,0.140842199,0.109223366,0.187862158,0.062828779,0.078638792,0.125033379,0.265577078,0.15616703,0.140543699,0.109410048,0.311939001,0.234314919,0.202528954,0.077624083,0.765307903,0.671770573,0.687683821,0.093537331,0.280415058,0.171084642,0.186877728,0.109330416,0.234143496,0.156094313,0.12481308,0.078049183,0.328940868,0.219198227,0.250891685,0.109742641
5,5,tusks corp,0.109389305,0.218391657,0.156372547,0.109002352,0.06201911,0.233868122,0.140450001,0.171849012,0.093418121,0.202372074,0.108754873,0.108953953,0.093617201,0.203538656,0.125838757,0.109921455,0.0776999,0.328220367,0.235031128,0.250520468,0.09318924,0.311915636,0.18646431,0.218726397,0.125451326,0.17144084,0.125451326,0.045989513,0.045989513,0.562262058,0.468746662,0.516272545,0.093515396,0.578573465,0.51510644,0.485058069,0.063467026
5,5,taper bold,0.109501362,0.265471697,0.156904459,0.155970335,0.108567238,0.233622313,0.155252934,0.125055075,0.078369379,0.202774286,0.109418392,0.124404907,0.093355894,0.155650139,0.047236204,0.062294245,0.108413935,0.295909882,0.202826023,0.187495947,0.093083858,0.359992266,0.250327826,0.266908407,0.10966444,0.139968157,0.094208479,0.030303717,0.045759678,0.217293024,0.155538559,0.171533346,0.061754465,0.171710014,0.094144344,0.109955549,0.07756567
5,5,belie glop,0.10952282,1.426153183,1.331365108,1.316630363,0.094788074,0.187177658,0.124904871,0.092389584,0.062272787,0.234578371,0.156369686,0.172305584,0.078208685,0.234238148,0.124506474,0.156029463,0.109731674,0.313385725,0.21857214,0.203654051,0.094813585,0.516387939,0.43818593,0.421574354,0.078202009,0.14029932,0.093049288,0.062097311,0.047250032,0.234809637,0.172716141,0.187559605,0.062093496,0.327877283,0.25057888,0.265783787,0.077298403
5,5,maned step,0.07729578,0.23463273,0.123924494,0.15733695,0.110708237,0.203655005,0.125601053,0.092946768,0.078053951,0.187345982,0.108839273,0.10929203,0.078506708,0.265918732,0.171969414,0.187412024,0.093949318,0.234020472,0.125014305,0.140071154,0.109006166,0.234662771,0.155983448,0.125656605,0.078679323,0.250218153,0.156654596,0.17153883,0.093563557,0.187232018,0.077977896,0.093668461,0.109254122,0.156065464,0.077714682,0.046811342,0.078350782
5,5,cream atom,0.10963726,0.327971935,0.218724251,0.218334675,0.109247684,0.17110014,0.078367233,0.061852455,0.092732906,0.234007835,0.124896049,0.141274929,0.109111786,0.218485355,0.139926672,0.109373569,0.078558683,0.312842131,0.219257355,0.234283447,0.093584776,0.234136105,0.141625643,0.140551329,0.092510462,0.404899597,0.280868292,0.312389135,0.124031305,0.201647997,0.109235048,0.077616692,0.092412949,0.171499252,0.046612501,0.079086304,0.124886751
