Subject,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-NG|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-NG|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-NG|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-NG|3+4,T2-D|4,T2-D|S,T2-I|S,T2-PF|S,T2-RF|S,T2-NG|S,T2-D|M,T2-I|M,T2-PF|M,T2-RF|M,T2-DT-M,T2-D|VAR,T2-I|VAR,T2-PF|VAR,T2-RF|VAR,T2-DT-VAR,T2-D|SD,T2-I|SD,T2-PF|SD,T2-RF|SD,T2-NG|SD,T3-I|0+2,T3-PF|0+2,T3-RF|0+2,T3-NG|0+2,T3-I|1+3,T3-PF|1+3,T3-RF|1+3,T3-NG|1+3,T3-I|2+4,T3-PF|2+4,T3-RF|2+4,T3-NG|2+4,T3-I|S,T3-PF|S,T3-RF|S,T3-NG|S,T3-I|M,T3-PF|M,T3-RF|M,T3-NG|M,T3-I|VAR,T3-PF|VAR,T3-RF|VAR,T3-NG|VAR,T3-I|SD,T3-PF|SD,T3-RF|SD,T3-NG|SD,T4-I|0+3,T4-PF|0+3,T4-RF|0+3,T4-NG|0+3,T4-I|1+4,T4-PF|1+4,T4-RF|1+4,T4-NG|1+4,T4-I|S,T4-PF|S,T4-RF|S,T4-NG|S,T4-I|M,T4-PF|M,T4-RF|M,T4-NG|M,T4-I|VAR,T4-PF|VAR,T4-RF|VAR,T4-NG|VAR,T4-I|SD,T4-PF|SD,T4-RF|SD,T4-NG|SD,T5-I|0+4,T5-PF|0+4,T5-RF|0+4,T5-NG|0+4
cy,krone,0.081998587,0.058255196,0.140253782,0.203993559,0.285992146,0.145738363,0.033360004,0.179098368,0.213408947,0.35914731,0.180048943,-0.063036442,0.117012501,0.043063402,0.223112345,0.106099844,0.025872946,0.13197279,0.131754398,0.237854242,0.105881453,0.619767189,0.054451704,0.56833744,0.592220306,1.106106043,0.123953438,0.013612926,0.14208436,0.148055077,0.276526511,0.001506711,0.002802771,0.00070141,0.006229735,0.003754804,0.038816381,0.052941203,0.026484145,0.078928672,0.061276456,0.237353563,0.31935215,0.417402506,0.499401093,0.150372505,0.296110868,0.256472349,0.402210712,0.068936348,0.248985291,0.174817801,0.354866743,0.456662416,0.864448309,0.848692656,1.256478548,0.152220805,0.288149436,0.282897552,0.418826183,0.007093652,0.001285412,0.015235553,0.0054296,0.084223819,0.035852643,0.123432384,0.073685819,0.354366064,0.436364651,0.460465908,0.542464495,0.282345295,0.428083658,0.388226748,0.533965111,0.636711359,0.864448309,0.848692656,1.076429605,0.31835568,0.432224154,0.424346328,0.538214803,0.002593496,3.43E-05,0.002609248,3.61E-05,0.050926374,0.005855546,0.0510808,0.006009972,0.486338854,0.56833744,0.592220306,0.674218893
cy,zebra,0.248907804,-0.094999552,0.153908253,0.079999685,0.32890749,0.174999237,0.101415873,0.27641511,0.199977875,0.374977112,0.098562002,0.042026997,0.140588999,0.153567553,0.252129555,0.111540556,0.00100112,0.112541676,0.14000988,0.251550436,0.13900876,0.77301836,0.049444437,0.683454037,0.573554993,1.207564592,0.154603672,0.012361109,0.170863509,0.143388748,0.301891148,0.003636888,0.006822059,0.005248868,0.002445176,0.003693948,0.060306613,0.082595756,0.07244907,0.049448719,0.060777859,0.181415558,0.430323362,0.27997756,0.528885365,0.242004871,0.417004108,0.353545427,0.528544664,0.154568672,0.253130674,0.293577433,0.392139435,0.577989101,1.100458145,0.92710042,1.449569464,0.192663034,0.366819382,0.309033473,0.483189821,0.002006152,0.009738192,0.001532225,0.006217659,0.044790083,0.098682279,0.039143641,0.078852132,0.322004557,0.570912361,0.433545113,0.682452917,0.354546547,0.529545784,0.493555307,0.668554544,0.676551104,1.100458145,0.92710042,1.351007462,0.338275552,0.550229073,0.46355021,0.675503731,0.000529491,0.000855597,0.001800612,9.66E-05,0.023010662,0.029250587,0.042433616,0.009827634,0.434546232,0.683454037,0.573554993,0.822462797
cy,xenia,0.153068781,-0.010037661,0.14303112,0.1439569,0.297025681,0.15399456,0.038410187,0.192404747,0.156457663,0.310452223,0.118047476,-0.044001102,0.074046373,0.029997587,0.148045063,0.07399869,0.010000229,0.083998919,0.119098425,0.193097115,0.109098196,0.608207703,-0.005628347,0.493481159,0.449510574,0.948620081,0.121641541,-0.001407087,0.12337029,0.112377644,0.23715502,0.001118621,0.001201426,0.003045086,0.003257313,0.006279553,0.03344579,0.034661598,0.055182298,0.057072878,0.079243632,0.182367086,0.335435867,0.300414562,0.453483343,0.11245656,0.26645112,0.18645525,0.34044981,0.039997816,0.158045292,0.149096012,0.267143488,0.334821463,0.75993228,0.635965824,1.061076641,0.111607154,0.25331076,0.211988608,0.353692214,0.005067793,0.007996356,0.00621329,0.008812156,0.071188436,0.089422345,0.078824426,0.093873086,0.25641346,0.409482241,0.330412149,0.48348093,0.196455479,0.350450039,0.305553675,0.459548235,0.452868938,0.75993228,0.635965824,0.943029165,0.226434469,0.37996614,0.317982912,0.471514583,0.00179748,0.0017424,0.000308972,0.000286387,0.042396695,0.04174207,0.017577596,0.016922971,0.340412378,0.493481159,0.449510574,0.602579355
cy,quail,0.135570526,-0.047543287,0.088027239,0.154798508,0.290369034,0.202341795,0.009999752,0.212341547,0.174998283,0.377340078,0.164998531,-0.073000193,0.091998339,0.012001276,0.176999807,0.085001469,0.504001141,0.589002609,0.639213085,0.724214554,0.135211945,0.723124266,0.393457413,0.981369734,0.981011152,1.568923473,0.144624853,0.098364353,0.245342433,0.245252788,0.392230868,0.001867966,0.074334784,0.055817952,0.074242885,0.055711715,0.043219972,0.272644062,0.236258232,0.272475476,0.236033293,0.16479826,0.300368786,0.329796791,0.465367317,0.101998091,0.304339886,0.186999559,0.389341354,0.516002417,0.681000948,0.651214361,0.816212893,0.782798767,1.28570962,1.168010712,1.670921564,0.260932922,0.428569873,0.389336904,0.556973855,0.0497813,0.047795028,0.056532614,0.051848646,0.223117235,0.21862074,0.237765881,0.227702977,0.256796598,0.392367125,0.341798067,0.477368593,0.6910007,0.893342495,0.826212645,1.02855444,0.947797298,1.28570962,1.168010712,1.505923033,0.473898649,0.64285481,0.584005356,0.752961516,0.094266601,0.125488161,0.117328741,0.151902919,0.307028665,0.354243082,0.342532833,0.38974725,0.845799208,0.981369734,0.981011152,1.116581678
cy,acute,0.069122076,0.149223566,0.218345642,0.233255148,0.302377224,0.084031582,0.040001392,0.124032974,0.140998125,0.225029707,0.100996733,0.041002274,0.141999006,0.180044174,0.281040907,0.139041901,-0.032043457,0.106998444,0.081221104,0.220263004,0.113264561,0.506456852,0.198183775,0.591376066,0.635518551,1.028710842,0.10129137,0.049545944,0.147844017,0.158879638,0.257177711,0.000725328,0.005585517,0.002413323,0.004110084,0.001669546,0.026931907,0.074736318,0.049125587,0.064109933,0.040860078,0.27325654,0.342378616,0.374253273,0.443375349,0.182000399,0.266031981,0.321042299,0.405073881,0.148000717,0.24899745,0.261265278,0.362262011,0.603257656,0.857408047,0.95656085,1.210711241,0.201085885,0.285802682,0.318853617,0.403570414,0.004195447,0.002473171,0.003195165,0.001646539,0.064772272,0.049730987,0.056525786,0.040577564,0.415255547,0.484377623,0.554297447,0.623419523,0.288998842,0.373030424,0.402263403,0.486294985,0.704254389,0.857408047,0.95656085,1.109714508,0.352127194,0.428704023,0.478280425,0.554857254,0.007970378,0.006199099,0.011557175,0.00940157,0.089276972,0.078734359,0.107504304,0.096961691,0.52225399,0.591376066,0.635518551,0.704640627
cy,tidal,0.134799719,-0.025568247,0.109231472,0.065922499,0.200722218,0.091490746,0.388091087,0.479581833,0.553081036,0.644571781,0.164989948,-0.048451662,0.116538286,0.115789652,0.2807796,0.164241314,-0.043650627,0.120590687,0.073852062,0.238093376,0.117502689,0.673024416,0.270420551,0.825942278,0.808645248,1.364166975,0.134604883,0.067605138,0.206485569,0.202161312,0.341041744,0.000988231,0.045746516,0.033169458,0.055209665,0.042016648,0.031436134,0.213884353,0.182124841,0.234967369,0.204979629,0.454013586,0.588813305,0.619003534,0.753803253,0.504629374,0.596120119,0.668870687,0.760361433,0.072139025,0.237128973,0.189641714,0.354631662,1.030781984,1.422062397,1.477515936,1.868796349,0.343593995,0.474020799,0.492505312,0.622932116,0.05590634,0.04210165,0.069416452,0.053999603,0.236445216,0.205186867,0.263470022,0.232378146,0.570551872,0.705351591,0.734793186,0.869592905,0.62522006,0.716710806,0.74272275,0.834213495,1.195771933,1.422062397,1.477515936,1.7038064,0.597885966,0.711031199,0.738757968,0.8519032,0.001494305,6.45E-05,3.14E-05,0.000625851,0.038656247,0.008032178,0.005607048,0.025017021,0.691142559,0.825942278,0.808645248,0.943444967
cy,scold,0.0877707,0.025020599,0.1127913,0.172286987,0.260057688,0.147266388,-0.02601409,0.121252298,0.019810677,0.167077065,0.045824766,0.107604027,0.153428793,0.188375473,0.234200239,0.080771446,0.033074379,0.113845825,0.145516157,0.226287603,0.112441778,0.474075079,0.139684916,0.501318216,0.525989294,0.887622595,0.094815016,0.034921229,0.125329554,0.131497324,0.221905649,0.001427184,0.003032445,0.000365092,0.005856452,0.001544037,0.037778095,0.055067642,0.019107373,0.076527458,0.039294233,0.146272898,0.234043598,0.192097664,0.279868364,0.127414703,0.274681091,0.20818615,0.355452538,0.221449852,0.267274618,0.33389163,0.379716396,0.495137453,0.775999308,0.734175444,1.015037298,0.165045818,0.258666436,0.244725148,0.338345766,0.002474969,0.000468427,0.006027706,0.002711889,0.049749062,0.021643176,0.077638303,0.052075797,0.299701691,0.387472391,0.380473137,0.468243837,0.241260529,0.388526917,0.353702307,0.500968695,0.540962219,0.775999308,0.734175444,0.969212532,0.27048111,0.387999654,0.367087722,0.484606266,0.001707685,5.56E-07,0.000358339,0.000535458,0.041324142,0.000745662,0.018929836,0.023139969,0.413547516,0.501318216,0.525989294,0.613759995
cy,nitro,0.141578436,-0.07194519,0.069633245,0.026422262,0.168000698,0.098367453,0.029683828,0.128051281,0.066001415,0.164368868,0.036317587,0.081078291,0.117395878,0.172136545,0.208454132,0.091058254,0.006999731,0.098057985,0.06099844,0.152056694,0.053998709,0.421320438,0.04581666,0.41313839,0.325558662,0.692880392,0.084264088,0.011454165,0.103284597,0.081389666,0.173220098,0.001686215,0.004051711,0.000657416,0.003969671,0.000598304,0.041063549,0.063653054,0.025640124,0.063005322,0.024460262,0.056106091,0.197684526,0.092423677,0.234002113,0.147079706,0.245447159,0.23813796,0.336505413,0.179136276,0.215453863,0.233134985,0.269452572,0.382322073,0.658585548,0.563696623,0.839960098,0.127440691,0.219528516,0.187898874,0.279986699,0.004073375,0.000582769,0.006842892,0.002709957,0.063822996,0.024140616,0.082721777,0.052057252,0.173501968,0.315080404,0.264560223,0.406138659,0.245137691,0.343505144,0.2991364,0.397503853,0.41863966,0.658585548,0.563696623,0.803642511,0.20931983,0.329292774,0.281848311,0.401821256,0.002565838,0.000403983,0.000597756,3.73E-05,0.050654106,0.020099326,0.02444905,0.00610573,0.271559954,0.41313839,0.325558662,0.467137098
cy,owned,0.092329264,0.01987958,0.112208843,0.164244175,0.256573439,0.144364595,-0.022113085,0.122251511,0.087240934,0.23160553,0.109354019,0.080084085,0.189438105,0.249009371,0.35836339,0.168925285,-0.065124989,0.103800297,0.039052248,0.207977533,0.104177237,0.6191504,0.012725592,0.527698755,0.539546728,1.054519892,0.12383008,0.003181398,0.131924689,0.134886682,0.263629973,0.001010834,0.003832809,0.00152702,0.008446735,0.004382325,0.031793615,0.061909681,0.039077101,0.091906123,0.066199129,0.14213109,0.234460354,0.251485109,0.343814373,0.16732502,0.311689615,0.336250305,0.480614901,0.183884382,0.293238401,0.288061619,0.397415638,0.493340492,0.839388371,0.875797033,1.221844912,0.164446831,0.279796124,0.291932344,0.407281637,0.000442047,0.001626611,0.001807521,0.0047516,0.021024922,0.040331264,0.042514956,0.068931847,0.331569195,0.423898458,0.50049448,0.592823744,0.271125317,0.415489912,0.375302553,0.519667149,0.602694511,0.839388371,0.875797033,1.112490892,0.301347256,0.419694185,0.437898517,0.556245446,0.001826731,3.54E-05,0.007836509,0.002675944,0.042740276,0.00594574,0.088524061,0.051729525,0.435369492,0.527698755,0.539546728,0.631875992
cy,admit,0.144998074,-0.057999849,0.086998224,0.055311203,0.200309277,0.113311052,-0.062311172,0.05099988,0.069257975,0.182569027,0.131569147,-0.006999969,0.124569178,0.113341808,0.244910955,0.120341778,0.024063587,0.144405365,0.146085501,0.266427279,0.122021914,0.632241964,-0.103247404,0.406972647,0.383996487,0.894216537,0.126448393,-0.025811851,0.101743162,0.095999122,0.223554134,0.000149947,0.001736571,0.001711128,0.00172667,0.001504774,0.012245274,0.041672189,0.041365785,0.041553218,0.03879142,-0.006999969,0.137998104,0.124569178,0.269567251,0.062258005,0.175569057,0.182599783,0.295910835,0.137405396,0.268974543,0.259427309,0.390996456,0.192663431,0.582541704,0.56659627,0.956474543,0.064221144,0.194180568,0.188865423,0.318824848,0.005216118,0.004548498,0.004576123,0.004080052,0.072222696,0.067442554,0.067647044,0.063875284,0.117569208,0.262567282,0.237910986,0.38290906,0.20666337,0.319974422,0.328685284,0.441996336,0.324232578,0.582541704,0.56659627,0.824905396,0.162116289,0.291270852,0.283298135,0.412452698,0.003968885,0.00164779,0.004119987,0.001745653,0.062999086,0.040592978,0.064187121,0.041781014,0.261974573,0.406972647,0.383996487,0.52899456
