Subject,Class,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-D|4,T2-I|4+5,T2-PF|4+5,T2-RF|4+5,T2-D|5,T2-I|5+6,T2-PF|5+6,T2-RF|5+6,T2-D|6,T2-I|6+7,T2-PF|6+7,T2-RF|6+7,T2-D|7,T2-I|7+8,T2-PF|7+8,T2-RF|7+8,T2-D|8,T2-I|8+9,T2-PF|8+9,T2-RF|8+9,T2-D|9
jonah,6,florin huh,0.111500502,0.207248688,0.134798527,0.095748186,0.072450161,0.440621138,0.337090254,0.368170977,0.103530884,0.231145382,0.135131359,0.127614498,0.096014023,0.376668453,0.280668259,0.28065443,0.096000195,0.327317715,0.22422266,0.23131752,0.103095055,0.423734903,0.327021599,0.320639849,0.096713305,0.223788738,0.112765789,0.127075434,0.111022949,0.231725454,0.072007656,0.120702505,0.159717798,0.216157198,0.120014191,0.0564394,0.096143007
jonah,3,kay memoir,0.112002373,0.232002258,0.136002779,0.119999886,0.095999479,0.264002562,0.151999712,0.168003082,0.11200285,0.51200676,0.288006783,0.40000391,0.223999977,0.488000631,0.360000849,0.264000654,0.127999783,0.240004778,0.144001722,0.112004995,0.096003056,0.200023174,0.120000124,0.104020119,0.08002305,0.279899359,0.176906586,0.199876308,0.102992773,0.406620264,0.296133995,0.303627491,0.110486269,0.335469961,0.263357401,0.224983692,0.07211256
jonah,3,rum limper,0.110686064,0.199525356,0.08767128,0.088839293,0.111854076,0.312049627,0.208365679,0.200195551,0.103683949,0.207621574,0.079264164,0.103937626,0.12835741,0.23223567,0.152326822,0.10387826,0.079908848,0.239969254,0.184013844,0.160060406,0.05595541,0.215208054,0.144140482,0.159252644,0.071067572,0.263520241,0.176538229,0.192452669,0.086982012,0.159776688,0.062979698,0.072794676,0.096796989,0.263612509,0.168906689,0.166815519,0.09470582
jonah,5,muggy oles,0.102981091,0.294980288,0.206980467,0.191999197,0.087999821,0.192003012,0.113002062,0.104003191,0.07900095,0.23901701,0.159001112,0.16001606,0.080015898,0.176003933,0.056000471,0.095988035,0.120003462,0.200004101,0.080003738,0.080000639,0.120000362,0.305007458,0.19200182,0.185007095,0.113005638,0.32101965,0.20800209,0.208014011,0.113017559,0.192003965,0.088000536,0.078986406,0.104003429,0.29600668,0.168003321,0.19200325,0.128003359
jonah,4,dogy endow,0.120126724,0.208706617,0.096003056,0.088579893,0.112703562,0.271767855,0.152695894,0.159064293,0.11907196,0.263086557,0.135065079,0.144014597,0.128021479,0.241251945,0.079995155,0.113230467,0.16125679,1.000340939,0.887337685,0.839084148,0.113003254,0.225013733,0.136028528,0.112010479,0.088985205,0.344929695,0.216973305,0.25594449,0.12795639,0.35223937,0.256123304,0.22428298,0.096116066,0.223371267,0.119996071,0.127255201,0.103375196
jonah,6,scapes bet,0.103812695,0.287225962,0.151229382,0.183413267,0.13599658,0.207997322,0.079997778,0.072000742,0.127999544,0.20800066,0.095999002,0.080001116,0.112001657,0.208007336,0.136000872,0.096005678,0.072006464,0.520208359,0.393137217,0.448201895,0.127071142,0.254090548,0.102692842,0.127019405,0.151397705,0.288401842,0.192396879,0.137004137,0.096004963,0.304003716,0.248004675,0.207998753,0.055999041,0.248003006,0.151999712,0.192003965,0.096003294
jonah,5,quoin luge,0.136022091,0.255733728,0.152042627,0.119711637,0.103691101,0.336080074,0.248601913,0.232388973,0.087478161,0.271510363,0.175982714,0.184032202,0.095527649,0.278939962,0.175377369,0.183412313,0.103562593,0.271443844,0.135962486,0.16788125,0.135481358,0.208175898,0.104581356,0.07269454,0.103594542,0.311228514,0.21690774,0.207633972,0.094320774,0.342445135,0.254415274,0.248124361,0.088029861,0.296061039,0.183882236,0.208031178,0.112178802
jonah,3,fur widest,0.104000092,0.232004166,0.120002747,0.128004074,0.112001419,0.232001543,0.127995729,0.120000124,0.104005814,0.376010418,0.216006756,0.272004604,0.160003662,0.560010195,0.44800663,0.400006533,0.112003565,0.200003386,0.096001863,0.087999821,0.104001522,0.193001986,0.120004177,0.089000463,0.072997808,0.257000446,0.152001381,0.184002638,0.104999065,0.28100419,0.17600441,0.176005125,0.104999781,0.265001774,0.169000864,0.160001993,0.09600091
jonah,4,qaid mazes,0.097198248,0.727712393,0.615718842,0.630514145,0.111993551,0.200844526,0.087990046,0.088850975,0.112854481,0.256263494,0.152070761,0.143409014,0.104192734,0.224494696,0.088244438,0.120301962,0.136250257,0.311741114,0.184649706,0.175490856,0.127091408,0.184047461,0.087064981,0.056956053,0.096982479,0.256366253,0.144638062,0.159383774,0.111728191,0.289610863,0.191645145,0.177882671,0.097965717,0.288014412,0.161039591,0.190048695,0.126974821
jonah,6,hotels end,0.096001625,0.312004566,0.21600461,0.216002941,0.095999956,0.168000698,0.080001593,0.072000742,0.087999105,0.304003716,0.208001375,0.21600461,0.09600234,0.176001072,0.064003229,0.079998732,0.111997843,0.352004766,0.215996981,0.240006924,0.136007786,0.288007498,0.120005369,0.151999712,0.168002129,0.256002665,0.144002676,0.088000536,0.111999989,0.183997154,0.095999479,0.071997166,0.087997675,0.232000589,0.135999441,0.144002914,0.096001148
jonah,3,oat slippy,0.112211227,0.224158764,0.136188269,0.111947536,0.087970495,0.183868885,0.071945429,0.09589839,0.111923456,0.295865536,0.168682098,0.18394208,0.127183437,0.367304564,0.231132746,0.240121126,0.136171818,0.167841911,0.088513374,0.031670094,0.079328537,0.239556074,0.167828321,0.160227537,0.071727753,0.256161928,0.183327675,0.184434175,0.072834253,0.208297253,0.152633429,0.135462999,0.055663824,0.120015621,0.039730549,0.064351797,0.080285072
jonah,3,wed bunion,0.119824171,0.36760354,0.272612572,0.247779369,0.094990969,0.311270237,0.216284275,0.216279268,0.094985962,0.207877398,0.054986715,0.112891436,0.152890682,0.304466009,0.200520515,0.151575327,0.103945494,0.183299303,0.071952105,0.079353809,0.111347198,0.68742156,0.57611227,0.576074362,0.11130929,0.335932016,0.215857029,0.224622726,0.120074987,0.29547596,0.224338293,0.175400972,0.071137667,0.255732059,0.17570591,0.184594393,0.08002615
jonah,3,ess elvish,0.120290041,0.312448025,0.192645073,0.192157984,0.119802952,0.311121702,0.199993849,0.19131875,0.111127853,0.247224808,0.087147951,0.136096954,0.160076857,0.272075415,0.136077642,0.111998558,0.135997772,0.239999533,0.119998693,0.10400176,0.120000839,0.248001575,0.152002335,0.128000736,0.095999241,0.304003716,0.192005873,0.208004475,0.111997843,0.264002323,0.167999268,0.15200448,0.096003056,0.192001104,0.112000704,0.095998049,0.080000401
jonah,5,fisty wale,0.087998629,0.192446947,0.064000607,0.104448318,0.128446341,0.303445578,0.183444738,0.174999237,0.120000839,0.305003643,0.176000357,0.185002804,0.129003286,0.296005249,0.160003185,0.167001963,0.136002064,0.216014862,0.112005711,0.080012798,0.104009151,0.272266626,0.127998114,0.168257475,0.144268513,0.175900459,0.039793491,0.031631947,0.136106968,0.232259989,0.152367115,0.096153021,0.079892874,0.191841364,0.104719877,0.11194849,0.087121487
jonah,5,skies logs,0.125997543,0.189998627,0.101996183,0.064001083,0.088002443,0.272000313,0.17600441,0.183997869,0.095995903,0.200011969,0.112001896,0.104016066,0.088010073,0.27240777,0.153041601,0.184397697,0.119366169,0.225925446,0.07136488,0.106559277,0.154560566,0.224724531,0.12851882,0.070163965,0.096205711,0.279156208,0.176035404,0.182950497,0.103120804,0.184054375,0.079121828,0.080933571,0.104932547,0.264614344,0.162604094,0.159681797,0.10201025
jonah,3,tub peeled,0.127396584,0.239375353,0.103276253,0.111978769,0.1360991,0.279480934,0.177377224,0.143381834,0.10210371,0.198308229,0.086148262,0.096204519,0.112159967,0.304459095,0.184601545,0.192299128,0.11985755,0.191150904,0.095831156,0.071293354,0.095319748,0.30390048,0.184199572,0.208580732,0.119700909,0.472106695,0.351413488,0.352405787,0.120693207,0.232107878,0.136703253,0.111414671,0.095404625,0.303138733,0.18327117,0.207734108,0.119867563
jonah,6,thinly row,0.095999718,0.168002367,0.071996927,0.072002649,0.09600544,0.256003141,0.184000254,0.159997702,0.072002888,0.232006788,0.145008802,0.160003901,0.086997986,0.287004232,0.183001757,0.200006247,0.104002476,0.143997669,0.079998493,0.039995193,0.063999176,0.208002567,0.088003874,0.144003391,0.119998693,0.233001947,0.14400053,0.113003254,0.089001417,0.160002232,0.063999176,0.071000814,0.096003056,0.2240026,0.112006187,0.127999544,0.111996412
jonah,3,duo timbre,0.112001657,0.176008224,0.088001013,0.064006567,0.088007212,0.320006847,0.192012548,0.231999636,0.127994299,0.183991432,0.095994711,0.055997133,0.087996721,0.224012852,0.112013102,0.13601613,0.11199975,0.160352707,0.072001219,0.048352957,0.088351488,0.288915873,0.176647425,0.200564384,0.112268448,0.167315483,0.07934618,0.055047035,0.087969303,0.320274115,0.216505051,0.232304811,0.103769064,0.311929941,0.183549404,0.208160877,0.128380537
jonah,3,pip dumbly,0.094557524,0.270920753,0.18292594,0.17636323,0.087994814,0.270993471,0.175997972,0.182998657,0.094995499,0.215013027,0.118997574,0.120017529,0.096015453,0.200861931,0.071999311,0.104846478,0.128862619,0.176485777,0.072716951,0.047623158,0.103768826,0.287487745,0.192276955,0.18371892,0.095210791,0.215209246,0.127206087,0.119998455,0.088003159,0.200002432,0.112001896,0.111999273,0.088000536,0.248003006,0.128004074,0.16000247,0.119998932
jonah,5,brays ugly,0.119070292,0.319683313,0.135085106,0.200613022,0.184598207,0.240854263,0.104382753,0.056256056,0.13647151,0.264181137,0.152422667,0.127709627,0.111758471,0.240115643,0.135892391,0.128357172,0.104223251,0.167617559,0.079240561,0.063394308,0.088376999,0.273150921,0.177340269,0.184773922,0.095810652,0.215747833,0.119656801,0.119937181,0.096091032,0.271478891,0.168297529,0.175387859,0.103181362,0.246753693,0.143144131,0.14357233,0.103609562
jonah,4,dose torus,0.118005753,0.510234118,0.390239954,0.392228365,0.119994164,0.248000383,0.145996571,0.12800622,0.102003813,0.438004971,0.310004473,0.336001158,0.128000498,0.54400897,0.408011436,0.416008472,0.135997534,0.345999718,0.240002871,0.210002184,0.105996847,0.207998991,0.087994099,0.102002144,0.120004892,0.280006409,0.168009043,0.160001516,0.111997366,0.183992624,0.095997572,0.071995258,0.087995052,0.248000383,0.160001755,0.160005331,0.087998629
jonah,6,umlaut yuk,0.111612797,0.367107153,0.247083664,0.255494356,0.120023489,0.360481739,0.248931885,0.24045825,0.111549854,0.278995514,0.183352709,0.16744566,0.095642805,0.240769625,0.12018013,0.14512682,0.120589495,0.272225618,0.176095724,0.151636124,0.096129894,0.319325924,0.167123079,0.22319603,0.152202845,0.520870209,0.424894571,0.368667364,0.095975637,0.14319396,0.047975779,0.047218323,0.095218182,0.279783249,0.19178319,0.184565067,0.088000059
jonah,6,aimers jig,0.104004383,0.152002335,0.056034327,0.047997952,0.095968008,0.328230381,0.191776037,0.232262373,0.136454344,0.175767899,0.088381052,0.039313555,0.087386847,0.288547993,0.176030159,0.201161146,0.112517834,0.335887432,0.224256992,0.223369598,0.11163044,0.263366938,0.134795666,0.151736498,0.128571272,0.256935596,0.153077364,0.128364325,0.103858232,0.2874856,0.19955492,0.183627367,0.087930679,0.20039916,0.111886024,0.112468481,0.088513136
